NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,0910 Entries & Exits,0910 interchanges
5064,510364,811454,1447003,2768821,510364,811454,1447003,2768821,5537642,704493
4715,72499,40872,106918,220289,72499,40872,106918,220289,440578,0
1437,38449,61026,285160,384635,38449,61026,285160,384635,769270,0
1438,23103,34678,202059,259840,23103,34678,202059,259840,519680,0
6074,27855,17498,50397,95750,27855,17498,50397,95750,191500,0
5687,107899,88811,249278,445988,107899,88811,249278,445988,891976,49232
4175,509,76,226,811,509,76,226,811,1622,0
8050,419,141,726,1286,419,141,726,1286,2572,0
8618,2252,555,0,2807,2252,555,0,2807,5614,0
8051,46669,82916,42142,171727,46669,82916,42142,171727,343454,2388
9023,1288,757,740,2785,1288,757,740,2785,5570,0
6812,157730,180773,331666,670169,157730,180773,331666,670169,1340338,210424
6958,22243,33556,99900,155699,22243,33556,99900,155699,311398,0
7289,16599,20335,6435,43369,16599,20335,6435,43369,86738,409
7006,2288,2234,838,5360,2288,2234,838,5360,10720,0
8807,35326,14398,17418,67142,35326,14398,17418,67142,134284,0
3623,185521,182161,121974,489656,185521,182161,121974,489656,979312,0
5702,3830,7725,1233,12788,3830,7725,1233,12788,25576,0
2222,19956,34803,9738,64497,19956,34803,9738,64497,128994,0
7290,42,35,0,77,42,35,0,77,154,0
2422,21814,1656,712,24182,21814,1656,712,24182,48364,0
4182,1243,230,426,1899,1243,230,426,1899,3798,0
3502,118,1498,231,1847,118,1498,231,1847,3694,0
4317,3459,1406,0,4865,3459,1406,0,4865,9730,0
1865,11639,6789,5993,24421,11639,6789,5993,24421,48842,0
7085,3982,6675,13951,24608,3982,6675,13951,24608,49216,0
5483,102497,251818,404218,758533,102497,251818,404218,758533,1517066,0
8500,111636,84215,76396,272247,111636,84215,76396,272247,544494,0
8565,66078,80315,51976,198369,66078,80315,51976,198369,396738,0
2945,18202,41501,19634,79337,18202,41501,19634,79337,158674,0
1975,4371,1677,2008,8056,4371,1677,2008,8056,16112,0
3176,112338,155954,205233,473525,112338,155954,205233,473525,947050,0
6873,21861,28114,73453,123428,21861,28114,73453,123428,246856,0
2743,3615,1043,335,4993,3615,1043,335,4993,9986,0
2550,43572,12108,7195,62875,43572,12108,7195,62875,125750,11
2549,58101,26624,10912,95637,58101,26624,10912,95637,191274,40
9767,57874,44444,54004,156322,57874,44444,54004,156322,312644,0
9107,23609,44154,28584,96347,23609,44154,28584,96347,192694,0
2279,31273,55915,20591,107779,31273,55915,20591,107779,215558,0
2280,5715,11928,1234,18877,5715,11928,1234,18877,37754,0
5927,11661,9379,6407,27447,11661,9379,6407,27447,54894,0
6200,1635,667,578,2880,1635,667,578,2880,5760,0
1658,104632,170920,66037,341589,104632,170920,66037,341589,683178,3283
7008,83236,115954,10701,209891,83236,115954,10701,209891,419782,602
9791,24939,18742,22079,65760,24939,18742,22079,65760,131520,0
