NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,0607        Entries & Exits," 0607 Interchanges"
1438,34643,59775,359751,454169,32618,59758,359751,452127,906296,0
6074,20767,15492,46170,82429,21816,16931,46170,84917,167346,0
5687,96908,78299,198833,374040,104305,79828,198833,382966,757006,49280
4175,356,295,317,968,333,307,317,957,1925,0
8050,309,190,634,1133,280,189,634,1103,2236,0
8618,1457,326,0,1783,1173,321,0,1494,3277,0
8051,47125,71986,50502,169613,50433,71174,50502,172109,341722,11035
9023,1165,818,1134,3117,1202,818,1134,3154,6271,0
6812,147746,183739,364826,696311,147798,185230,364826,697854,1394165,229919
6958,17152,29384,101448,147984,17217,29401,101448,148066,296050,0
7289,11816,5288,5973,23077,10513,13518,5973,30004,53081,264
7006,1606,333,263,2202,1416,1022,263,2701,4903,0
8807,28059,10429,21896,60384,26785,12687,21896,61368,121752,0
3623,110305,92261,367,202933,115171,92342,367,207880,410813,0
5702,2602,5919,909,9430,3077,5953,909,9939,19369,0
2222,17478,20951,6095,44524,17184,24410,6095,47689,92213,0
7290,6,4,0,10,8,4,0,12,22,0
2422,14755,1986,184,16925,17210,2009,184,19403,36328,0
4182,709,794,1386,2889,778,825,1386,2989,5878,0
3502,110,732,0,842,102,747,0,849,1691,0
4317,1963,2174,5,4142,2231,2186,5,4422,8564,0
1865,14198,8012,4484,26694,11231,8005,4484,23720,50414,0
7085,3603,5969,15080,24652,3476,6183,15080,24739,49391,0
5483,88643,219761,385629,694033,97043,217053,385629,699725,1393758,0
8500,110676,80023,20087,210786,114142,81454,20087,215683,426469,0
8565,67876,69225,16536,153637,83575,70908,16536,171019,324656,0
2945,16629,24618,15403,56650,12796,26626,15403,54825,111475,0
1975,2854,1021,795,4670,3073,1023,795,4891,9561,0
3176,111172,124929,200268,436369,116290,130663,200268,447221,883590,0
6873,16137,28461,91991,136589,17740,29212,91991,138943,275532,0
2743,472,269,0,741,767,268,0,1035,1776,0
2550,35533,13765,5032,54330,37683,13948,5032,56663,110993,46
2549,33197,38797,9659,81653,37137,38710,9659,85506,167159,5
9767,51948,39322,45666,136936,59851,39326,45666,144843,281779,0
9107,18377,37281,25070,80728,20487,34341,25070,79898,160626,0
2279,28732,49904,10641,89277,27869,50360,10641,88870,178147,0
2280,5871,14178,1252,21301,6272,15817,1252,23341,44642,0
5927,7593,7579,6584,21756,8172,7751,6584,22507,44263,0
6200,3037,1243,702,4982,3143,1222,702,5067,10049,0
1658,75283,194626,55610,325519,76490,197650,55610,329750,655269,2207
7008,67584,54133,16224,137941,68109,53129,16224,137462,275403,281
9791,18459,13129,15446,47034,23432,13123,15446,52001,99035,0
6913,55576,78191,232591,366358,46254,78053,232591,356898,723256,0
1395,74494,77693,210842,363029,80085,83102,210842,374029,737058,0
1179,22517,25812,1110,49439,19649,25792,1110,46551,95990,0
5324,12469,12847,40693,66009,13962,12356,40693,67011,133020,0
2946,21939,93621,18029,133589,18988,93166,18029,130183,263772,0
5689,50331,35555,71068,156954,57154,35500,71068,163722,320676,0
4124,156,240,10,406,247,243,10,500,906,0
3811,42600,41447,27720,111767,46934,41390,27720,116044,227811,0
2536,9252,560,5,9817,9681,562,5,10248,20065,0
3812,72320,134288,91293,297901,85450,134290,91293,311033,608934,0
4412,3312,11448,140,14900,3441,11507,140,15088,29988,0
3680,10788,17831,6379,34998,11039,17873,6379,35291,70289,0
1439,28045,28857,162810,219712,30439,28869,162810,222118,441830,0
3562,1959,8057,1756,11772,1631,8317,1756,11704,23476,0
3238,20567,16399,8180,45146,22486,16625,8180,47291,92437,0
5682,69464,79576,36432,185472,65335,90052,36432,191819,377291,0
3504,30905,55255,3709,89869,30556,57537,3709,91802,181671,0
7022,713243,1619881,934013,3267137,698447,1622712,934013,3255172,6522309,318332
6962,7377,13532,35223,56132,9462,13552,35223,58237,114369,0
9768,104491,73755,105050,283296,117312,73762,105050,296124,579420,5664
1440,135312,141356,711946,988614,164198,141128,711946,1017272,2005886,4106
9878,15305,14229,15126,44660,15906,14765,15126,45797,90457,0
1129,14754,21856,2192,38802,15055,21856,2192,39103,77905,0
6963,4231,30329,209200,243760,16065,31250,209200,256515,500275,0
1016,26461,42227,253,68941,29867,42690,253,72810,141751,0
1441,47366,55510,298821,401697,33205,55505,298821,387531,789228,0
5164,172522,367559,284772,824853,163870,366751,284772,815393,1640246,12727
5007,127294,287655,156688,571637,116923,289643,156688,563254,1134891,24087
